year_month,row_count
2007-10-01 00:00:00,125921
2007-11-01 00:00:00,267444
2007-12-01 00:00:00,314036
2008-01-01 00:00:00,390121
2008-02-01 00:00:00,381866
2008-03-01 00:00:00,396867
2008-04-01 00:00:00,401312
2008-05-01 00:00:00,462447
2008-06-01 00:00:00,493658
2008-07-01 00:00:00,499100
2008-08-01 00:00:00,508688
2008-09-01 00:00:00,582197
2008-10-01 00:00:00,679177
2008-11-01 00:00:00,662273
2008-12-01 00:00:00,707969
2009-01-01 00:00:00,875416
2009-02-01 00:00:00,811611
2009-03-01 00:00:00,905841
2009-04-01 00:00:00,946540
2009-05-01 00:00:00,1044607
2009-06-01 00:00:00,1119380
2009-07-01 00:00:00,1292484
2009-08-01 00:00:00,1503278
2009-09-01 00:00:00,1739052
2009-10-01 00:00:00,2061390
2009-11-01 00:00:00,2022042
2009-12-01 00:00:00,2334367
2010-01-01 00:00:00,2645344
2010-02-01 00:00:00,2465916
2010-03-01 00:00:00,2960524
2010-04-01 00:00:00,2949360
2010-05-01 00:00:00,3004294
2010-06-01 00:00:00,3261669
2010-07-01 00:00:00,3722985
2010-08-01 00:00:00,3917603
2010-09-01 00:00:00,4347198
2010-10-01 00:00:00,4662527
2010-11-01 00:00:00,5254112
2010-12-01 00:00:00,5506493
2011-01-01 00:00:00,6104834
2011-02-01 00:00:00,5882318
2011-03-01 00:00:00,6941746
2011-04-01 00:00:00,6966742
2011-05-01 00:00:00,8102899
2011-06-01 00:00:00,8996938
2011-07-01 00:00:00,9700183
2011-08-01 00:00:00,11342018
2011-09-01 00:00:00,11212681
2011-10-01 00:00:00,12421692
2011-11-01 00:00:00,12559546
2011-12-01 00:00:00,13314608
2012-01-01 00:00:00,15051104
2012-02-01 00:00:00,14751353
2012-03-01 00:00:00,16456526
2012-04-01 00:00:00,17541976
2012-05-01 00:00:00,18814628
2012-06-01 00:00:00,20188185
2012-07-01 00:00:00,22156870
2012-08-01 00:00:00,23685681
2012-09-01 00:00:00,21583343
2012-10-01 00:00:00,22892809
2012-11-01 00:00:00,22720290
2012-12-01 00:00:00,23958708
2013-01-01 00:00:00,27902130
2013-02-01 00:00:00,25097275
2013-03-01 00:00:00,28303715
2013-04-01 00:00:00,30541659
2013-05-01 00:00:00,30516904
2013-06-01 00:00:00,30074325
2013-07-01 00:00:00,32164775
2013-08-01 00:00:00,32067949
2013-09-01 00:00:00,29466415
2013-10-01 00:00:00,33213241
2013-11-01 00:00:00,34498955
2013-12-01 00:00:00,36703560
2014-01-01 00:00:00,39125054
2014-02-01 00:00:00,35686504
2014-03-01 00:00:00,39151333
2014-04-01 00:00:00,39226894
2014-05-01 00:00:00,39312121
2014-06-01 00:00:00,38773121
2014-07-01 00:00:00,43333885
2014-08-01 00:00:00,43503963
2014-09-01 00:00:00,41815971
2014-10-01 00:00:00,44340371
2014-11-01 00:00:00,42995992
2014-12-01 00:00:00,45608667
